agent_id,scenario,task_id,task_kind,runs,success_rate,pass_at_1,pass_at_3,pass_pow_3,time_p10,time_median,time_p90,time_mean,time_std,time_cv,cost_p10,cost_median,cost_p90,cost_mean,cost_std,cost_cv,cold_cost_median,cold_cost_p90,cold_cost_cv,cache_savings_mean,cache_read_rate_mean,cost_per_success_mean,time_per_success_mean,xcodebuild_calls_mean,xcrun_calls_mean,simctl_calls_mean,mcp_tool_calls_mean,time_to_first_xcodebuild_mean,time_to_first_mcp_build_mean,xcodebuild_repeat_mean,destination_count_mean,destination_churn_mean,tool_error_mean,tool_error_mcp_mean,tool_error_non_mcp_mean
claude-opus,mcp_unprimed,feature_from_task_md_fix_tests,capability,30,1.0,1.0,1.0,1.0,113.22797162532807,128.35955846309662,136.8681432247162,130.20186121463774,22.13644907788931,0.17001637973052763,0.589428525,0.678933125,0.7187335749999999,0.65914315,0.0665944190956888,0.10103180029359146,4.0687725,4.3568685,0.15366327130958846,3.1637596833333332,0.9997825211002277,0.65914315,130.20186121463774,0.0,0.0,0.0,7.133333333333334,,89.63060739999999,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-opus,mcp_unprimed,hn_api_cache_ttl,capability,30,1.0,1.0,1.0,1.0,162.80232570171356,171.84697496891022,186.24613621234897,179.42275958855947,23.232317826950233,0.12948367241828776,0.8053310000000001,0.8978180000000001,0.9547241999999999,0.892280325,0.059444875218237735,0.06662130000259474,5.593100000000001,6.0266615,0.07521343980028847,4.650512508333334,0.9996025757896366,0.892280325,179.42275958855947,0.0,0.0,0.0,6.966666666666667,,137.6029087,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-opus,mcp_unprimed,hn_offline_api_refactor,capability,30,1.0,1.0,1.0,1.0,122.78478798866271,129.50345838069916,142.92861313819884,135.3562701225281,23.41585213202425,0.17299421822740532,0.5510222499999999,0.5960797499999999,0.6735427999999999,0.6021315416666667,0.05264482226579278,0.08743076657315581,3.9096650000000004,4.4746185,0.0987937875124317,3.389145958333334,0.9995376529972176,0.6021315416666667,135.3562701225281,0.0,0.0,0.0,7.0,,94.52738953333333,0.0,0.0,0.0,0.26666666666666666,0.13333333333333333,0.13333333333333333
claude-opus,mcp_unprimed,hn_settings_deeplink,capability,30,1.0,1.0,1.0,1.0,170.78548996448518,187.08899211883545,195.42627511024475,184.2315131187439,10.026228154669784,0.05442189549953659,0.9610921749999999,1.084820875,1.1483647750000001,1.0564421333333334,0.08383672418181459,0.07935761130360186,7.839155,8.2173285,0.09696855827151594,6.4563982,0.9999352205366497,1.0564421333333334,184.2315131187439,0.0,0.0,0.0,13.766666666666667,,102.99587436666667,0.0,0.0,0.0,2.6,0.0,2.6
claude-opus,mcp_unprimed,smoke_build_install_launch,regression,30,1.0,1.0,1.0,1.0,70.24968228340148,72.91867089271545,75.60416576862336,72.36041611830393,3.3728715297407756,0.046612107982165,0.228520025,0.23067312500000003,0.233420475,0.225687,0.02383465478309493,0.10560933852235588,1.5512025,1.5544140000000002,0.1243041365633514,1.2834823333333334,0.999986954609982,0.225687,72.36041611830393,0.0,0.0,0.0,9.766666666666667,,42.062951766666664,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus,mcp_unprimed_v2,feature_from_task_md_fix_tests,capability,15,1.0,1.0,1.0,1.0,97.53729739189149,105.30230212211609,112.00734801292418,104.73462565739949,5.488711822628415,0.052405895263164456,0.37899264999999993,0.399936,0.427597,0.40404308333333333,0.024865399802283118,0.06154145641386787,1.427845,1.554059,0.12202668606553356,1.0265925833333334,0.9984414094293353,0.40404308333333333,104.73462565739949,1.0,0.0,0.0,6.4,106.26250826666666,51.58478233333334,0.0,1.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-opus,mcp_unprimed_v2,hn_api_cache_ttl,capability,15,1.0,1.0,1.0,1.0,151.33786091804504,162.0381019115448,175.7343198776245,163.0571027914683,9.65214418969031,0.05919487114912324,0.58228995,0.6737752499999999,0.72107045,0.6604582499999999,0.05964542102620166,0.09030914675712154,3.41455,3.621791,0.10389536496073068,2.662324416666667,0.9989699403370058,0.6604582499999999,163.0571027914683,1.0,0.0,0.0,8.2,163.57300806666666,127.6094874,0.0,1.0,0.0,0.7333333333333333,0.3333333333333333,0.4
claude-opus,mcp_unprimed_v2,hn_offline_api_refactor,capability,15,1.0,1.0,1.0,1.0,112.22804651260375,133.4073281288147,188.33482823371887,141.13153357505797,31.893407141110657,0.22598356535358408,0.344061,0.45882475000000006,0.55170405,0.4549495666666667,0.07643663240650404,0.16801122147789138,2.53012,2.941973,0.20788960282530344,1.942772766666667,0.9993996771983674,0.4549495666666667,141.13153357505797,1.0,0.0,0.0,8.2,141.65696866666667,92.85837786666667,0.0,1.0,0.0,0.7333333333333333,0.4666666666666667,0.26666666666666666
claude-opus,mcp_unprimed_v2,hn_settings_deeplink,capability,15,1.0,1.0,1.0,1.0,168.2118043422699,183.04381799697876,227.28525805473325,204.3688630580902,63.349673529051046,0.3099771294957217,0.70503815,0.7950164999999999,0.9417182500000001,0.8110215666666666,0.09883677563360217,0.12186701278466065,5.03384,6.06433,0.15143645008679749,4.320197100000001,0.9998679957760715,0.8110215666666666,204.3688630580902,0.0,0.0,0.0,15.133333333333333,,122.3925546,0.0,0.0,0.0,1.4666666666666666,0.13333333333333333,1.3333333333333333
claude-opus,mcp_unprimed_v2,smoke_build_install_launch,regression,15,1.0,1.0,1.0,1.0,69.50627536773682,74.84654211997986,78.69905152320862,74.8219354947408,5.361858575608999,0.07166158613988116,0.1105699,0.1192755,0.15773399999999996,0.12664876666666666,0.025489592231169755,0.20126206438517566,0.584025,0.830795,0.28393016006794414,0.5036569,0.9999695935688381,0.12664876666666666,74.8219354947408,0.0,0.0,0.0,7.666666666666667,,51.79163246666667,0.0,0.0,0.0,0.0,0.0,0.0
claude-opus,shell_primed,feature_from_task_md_fix_tests,capability,30,1.0,1.0,1.0,1.0,88.9396878004074,108.19838154315948,115.61062045097351,105.4725074450175,10.179057693487165,0.09650910877219333,0.27487130000000004,0.379587625,0.44572785000000004,0.3751765083333333,0.07103104743314968,0.18932701236731134,1.7562775000000002,2.0240935,0.23208359648885815,1.2653731583333334,0.9989964480585997,0.3751765083333333,105.4725074450175,1.0333333333333334,0.0,0.0,0.0,45.0005333,,0.0,1.0333333333333334,0.03333333333333333,0.0,0.0,0.0
claude-opus,shell_primed,hn_api_cache_ttl,capability,30,1.0,1.0,1.0,1.0,148.5282313108444,159.41132581233978,170.17941687107088,159.60130532582602,9.665399412894157,0.060559651396097584,0.5588537,0.6256675,0.7785225499999999,0.6539005333333333,0.08700667408354802,0.13305796470301298,2.7443850000000003,3.284071000000001,0.1487390495726436,2.192186466666667,0.9990361722356244,0.6539005333333333,159.60130532582602,1.0,0.0,0.0,0.0,94.0383997,,0.0,1.0,0.0,0.0,0.0,0.0
claude-opus,shell_primed,hn_offline_api_refactor,capability,30,0.9666666666666667,0.9666666666666667,0.9999629629629629,0.9032962962962963,112.39526290893555,121.88198339939117,140.65436787605287,123.95278231302898,15.193342039643388,0.12257362647394467,0.38089742499999996,0.45703925,0.5778966500000001,0.471081775,0.08303858568825072,0.1762721253401296,2.0951925000000005,2.6402600000000005,0.20537710095057576,1.6795140583333334,0.9993057633463429,0.487325974137931,128.22701618589204,1.1666666666666667,0.0,0.0,0.0,55.89879113333333,,0.16666666666666666,1.0,0.0,0.16666666666666666,0.0,0.16666666666666666
claude-opus,shell_primed,hn_settings_deeplink,capability,30,1.0,1.0,1.0,1.0,146.62272119522095,159.1924729347229,173.57724795341494,159.88438693682352,11.308897414248557,0.0707317182803918,0.537623175,0.5889721249999998,0.69907405,0.6080795166666666,0.07270607264894864,0.11956671891778953,3.2991425000000003,3.7345855000000006,0.10439632709808415,2.70843565,0.9999963992426676,0.6080795166666666,159.88438693682352,1.0,5.966666666666667,5.966666666666667,0.0,65.71777965517242,,0.0,1.0,0.0,0.0,0.0,0.0
claude-opus,shell_primed,smoke_build_install_launch,regression,30,1.0,1.0,1.0,1.0,71.51394612789154,77.003462433815,90.17418522834777,80.48844143549601,8.2428057837583,0.1024098073804068,0.14077459999999997,0.178541375,0.29875044999999995,0.2018387083333333,0.07207529071057078,0.35709349958551867,0.6651250000000001,1.1480860000000002,0.31107179728895623,0.6433816250000001,0.9999867194927811,0.2018387083333333,80.48844143549601,1.0,3.2,3.2,0.0,15.250348466666667,,0.0,1.0,0.0,0.0,0.0,0.0
claude-opus,shell_unprimed,feature_from_task_md_fix_tests,capability,30,1.0,1.0,1.0,1.0,156.43786001205444,166.2819368839264,183.93778557777404,169.9038014014562,11.94379027089011,0.07029736928998308,0.29503880000000005,0.33837874999999995,0.42377705,0.34644497499999993,0.056970540054909605,0.16444325698448828,1.2606175000000004,2.0564590000000003,0.2948155076320521,1.0603105250000002,0.993923057510511,0.34644497499999993,169.9038014014562,2.1,0.0,0.0,0.0,38.4790217,,0.0,2.0,1.0,0.9333333333333333,0.0,0.9333333333333333
claude-opus,shell_unprimed,hn_api_cache_ttl,capability,30,1.0,1.0,1.0,1.0,224.13720242977143,245.74141645431519,259.7052712917328,244.37369225819904,19.06679073318924,0.07802309060765736,0.63975315,0.6703356249999997,0.7562852999999998,0.6834264083333333,0.0486517415934008,0.07118797430150149,3.083005,3.6027825000000004,0.10847580625294737,2.4505530916666673,0.9986295871658123,0.6834264083333333,244.37369225819904,2.1666666666666665,0.03333333333333333,0.03333333333333333,0.0,97.6399418,,0.03333333333333333,1.9666666666666666,0.9666666666666667,0.6666666666666666,0.0,0.6666666666666666
claude-opus,shell_unprimed,hn_offline_api_refactor,capability,30,1.0,1.0,1.0,1.0,200.29504597187042,218.9927179813385,238.66094288825988,218.72888453801474,15.51889423687413,0.07095036519594636,0.490693525,0.533392375,0.6250274250000001,0.5416631916666667,0.0557674804350727,0.10295600899791502,2.60895,3.2326725,0.12636708910028285,2.1402138083333337,0.999470945363624,0.5416631916666667,218.72888453801474,3.7,0.0,0.0,0.0,58.78488993333334,,0.2,2.0,1.0,0.9333333333333333,0.0,0.9333333333333333
claude-opus,shell_unprimed,hn_settings_deeplink,capability,30,1.0,1.0,1.0,1.0,165.67714042663576,181.9944578409195,202.93527991771697,183.61372114817303,17.164018278242064,0.09347895228587522,0.6439329500000001,0.724855375,0.7865455000000003,0.7214630166666666,0.062336483879306646,0.08640288197628794,4.033952500000001,4.6200995,0.11356803421065204,3.3895171500000005,0.9997951254211087,0.7214630166666666,183.61372114817303,1.1666666666666667,5.733333333333333,5.733333333333333,0.0,79.46144460000001,,0.0,1.0,0.0,2.433333333333333,0.0,2.433333333333333
claude-opus,shell_unprimed,smoke_build_install_launch,regression,30,1.0,1.0,1.0,1.0,95.65288648605348,104.49340796470642,124.24417543411255,107.63010425567627,10.89134749387398,0.10119239007705025,0.179512875,0.204292125,0.21285347500000007,0.20656795,0.0322879039223002,0.15630645471526536,0.9143950000000001,0.9994745,0.12221187591479747,0.7128798833333334,0.9992289622858765,0.20656795,107.63010425567627,2.0,3.0,3.0,0.0,54.9864147,,0.0,1.0,0.0,0.0,0.0,0.0
claude-sonnet,mcp_unprimed,feature_from_task_md_fix_tests,capability,30,1.0,1.0,1.0,1.0,113.92101836204529,124.66998219490051,139.04906525611878,127.13846535682679,16.415746319062617,0.1291170714778583,0.373302505,0.44086435,0.48590104,0.43430014,0.05801727850716989,0.13358798020919332,2.6981085,3.0915966000000004,0.1832825878354087,2.2305115600000005,0.9997741267720436,0.43430014,127.13846535682679,0.0,0.0,0.0,11.666666666666666,,75.93833296666666,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.0
claude-sonnet,mcp_unprimed,hn_api_cache_ttl,capability,30,1.0,1.0,1.0,1.0,178.71877539157867,188.72638165950775,205.6241758108139,190.20617660681407,11.502756258257627,0.060475198352972645,0.5350354900000001,0.576184775,0.6177774100000002,0.5747057416666667,0.04214036053382643,0.07332510792674163,3.6337215,3.8988503999999997,0.10676335868493263,3.0055485583333335,0.9995922488739949,0.5747057416666667,190.20617660681407,0.03333333333333333,0.0,0.0,7.466666666666667,216.153937,149.08277713333334,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667
claude-sonnet,mcp_unprimed,hn_offline_api_refactor,capability,30,1.0,1.0,1.0,1.0,121.5197187423706,128.00089490413666,144.17997250556945,133.63369847933453,19.87562799189209,0.14873215527268904,0.335444275,0.373360975,0.42932183500000004,0.381609555,0.038729797881283334,0.10149063977521039,2.5226655,2.9586930000000002,0.13553394916093442,2.152096645,0.9994468050399894,0.381609555,133.63369847933453,0.0,0.0,0.0,6.733333333333333,,95.00622366666667,0.0,0.0,0.0,0.16666666666666666,0.03333333333333333,0.13333333333333333
claude-sonnet,mcp_unprimed,hn_settings_deeplink,capability,30,0.9666666666666667,0.9666666666666667,0.9999629629629629,0.9032962962962963,188.5497454404831,226.3218058347702,298.7702235221863,242.88562827110292,64.00915920662173,0.2635362152229785,0.5451837199999999,0.68805325,0.90854339,0.7197347672413793,0.20557087723639927,0.28562032375387036,4.562778,6.5640144000000005,0.33042712165601235,4.1945257155172415,0.9995545362568841,0.7197347672413793,251.2609947632099,0.0,0.0,0.0,13.6,,119.70523186666667,0.0,0.0,0.0,1.1666666666666667,0.03333333333333333,1.1333333333333333
claude-sonnet,mcp_unprimed,smoke_build_install_launch,regression,30,1.0,1.0,1.0,1.0,62.41647372245789,71.64357280731201,86.34059362411499,72.74432660738627,9.144900411120638,0.1257129021274367,0.10996067500000001,0.1310584,0.19213469499999997,0.145674225,0.03791520539920751,0.26027394619197397,0.8250345,1.2715116,0.2923198198828135,0.792590075,0.9987197348243954,0.145674225,72.74432660738627,0.0,0.0,0.0,9.2,,45.40274343333333,0.0,0.0,0.0,0.0,0.0,0.0
claude-sonnet,mcp_unprimed_v2,feature_from_task_md_fix_tests,capability,15,1.0,1.0,1.0,1.0,113.14329500198363,139.08207488059998,146.3974697113037,135.28942742347718,18.752008235202318,0.13860660505647338,0.25578115,0.35760855,0.44067394,0.3521672533333333,0.06992150591118859,0.19854630221682337,1.6544100000000002,2.3037972,0.313170026125243,1.3627469466666668,0.9994264521547678,0.3521672533333333,135.28942742347718,1.0,0.0,0.0,11.6,136.67351793333333,84.62494514285713,0.0,1.0,0.0,0.5333333333333333,0.4666666666666667,0.06666666666666667
claude-sonnet,mcp_unprimed_v2,hn_api_cache_ttl,capability,15,1.0,1.0,1.0,1.0,180.18476195335387,199.4851222038269,258.06883893013,210.07834367752076,38.428926803422264,0.18292664598694813,0.40960165000000004,0.4509734499999999,0.52436712,0.46498944666666664,0.06515629864170976,0.14012425251538632,2.4865950000000003,2.6400756,0.11983616862024783,1.9199095533333335,0.9999173041491801,0.46498944666666664,210.07834367752076,1.0,0.0,0.0,7.266666666666667,210.57678566666667,150.80718954545455,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0
claude-sonnet,mcp_unprimed_v2,hn_offline_api_refactor,capability,15,1.0,1.0,1.0,1.0,126.05755038261414,140.87373900413513,174.59483408927917,151.1399527867635,28.989779069228028,0.19180751703772458,0.26424882,0.2907778,0.39117787000000004,0.31991291666666666,0.06909268310745892,0.21597340872438126,1.595676,2.334153,0.2391468635046288,1.4081442833333333,0.9991102706293098,0.31991291666666666,151.1399527867635,1.0,0.0,0.0,8.333333333333334,151.62182566666667,107.27143692857143,0.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.0
claude-sonnet,mcp_unprimed_v2,hn_settings_deeplink,capability,15,1.0,1.0,1.0,1.0,177.26172308921815,199.2744607925415,269.375822687149,209.7528025150299,43.239148015100206,0.20614336255174415,0.4296047200000001,0.4956284,0.56941306,0.5021769733333333,0.060170398423527324,0.11981911082885838,3.04083,3.5171088,0.16301665101001805,2.488492626666667,0.9992618284387144,0.5021769733333333,209.7528025150299,0.0,0.0,0.0,14.333333333333334,,123.30157533333333,0.0,0.0,0.0,0.9333333333333333,0.5333333333333333,0.4
